"","Code BDV","Priorisation","Dep2T","Dep1T","Agriculteurs","PopFR","Chomeurs","NBRINS"
"1",330635305,"Non Prioritaire",?,?,?,?,?,?
"1",330391,"Non Prioritaire",20.1680672268908,11.7511520737327,0,93.8193343899,6.8145800317,923
"2",330392,"Peu Prioritaire",23.1428571428571,14.1531322505801,0.0730994152,94.115497076,7.3464912281,1023
"3",330393,"Non Prioritaire",29.5805739514349,16.6666666666667,0.0934579439,94.1121495327,7.5700934579,1062
"4",330394,"Peu Prioritaire",27.4390243902439,15.5216284987277,0.0801924619,96.1507618284,5.6134723336,814
"5",330395,"Non Prioritaire",27.027027027027,13.235294117647,0,90.5612244898,10.0340136054,1072
"6",330396,"Peu Prioritaire",25.2669039145907,14.576802507837,0,93.1237042156,7.7747062889,1513
"7",330397,"Peu Prioritaire",28.8759689922481,15.927750410509,0.0659195781,95.4515491101,6.328279499,1391
"8",330398,"Non Prioritaire",25,12.463768115942,0.1573564123,92.1321793863,10.6215578285,959
"9",330399,"Prioritaire",32.2033898305085,19.3656093489149,0.1367053999,96.3773069036,5.1948051948,1238
"10",335221,"Tres Prioritaire",50.5175983436853,36.2204724409449,0.0464684015,95.0743494424,6.0873605948,935
"11",335222,"Tres Prioritaire",48.711943793911,33.974358974359,0,95.2257394914,6.3829787234,905
"12",335223,"Tres Prioritaire",53.7190082644628,38.747553816047,0,95.9231490159,5.5763823805,994
"13",335224,"Prioritaire",53.9033457249071,41.5913200723327,0,92.7013666764,7.6475719686,1141
"14",335225,"Tres Prioritaire",44.1422594142259,34.8571428571429,0.092936803,95.0743494424,6.970260223,964
"15",335226,"Tres Prioritaire",49.8839907192575,36.228813559322,0.3089598352,94.850669413,7.5695159629,999
"16",335227,"Prioritaire",48.471615720524,35.1851851851852,0.0596302922,93.8580799046,7.8115682767,990
"17",335228,"Tres Prioritaire",48.8425925925926,34.0122199592668,0,95.450049456,6.528189911,947
"18",335229,"Tres Prioritaire",47.1326164874552,33.5042735042735,0,94.3227091633,6.374501992,1242
"19",335501,"Peu Prioritaire",41.7366946778711,28.1653746770025,0,90.5601659751,6.6390041494,993
"20",335502,"Prioritaire",50.6666666666667,29.9516908212561,0.1895734597,93.317535545,4.5497630332,930
"21",335503,"Prioritaire",41.8655097613883,27.8372591006424,0,92.7598566308,6.3799283154,1147
"22",335504,"Prioritaire",41.8879056047198,31.1475409836066,0,95.9047619048,5.5238095238,781
"23",335505,"Prioritaire",42.5287356321839,27.797833935018,0,95.7768924303,5.4980079681,1120
"24",335506,"Non Prioritaire",47.3972602739726,31.1904761904762,0.3159557662,92.7330173776,4.7393364929,865
"25",335507,"Peu Prioritaire",46.7661691542289,31.0572687224669,0.2227171492,92.3830734967,4.9888641425,1026
"26",335508,"Non Prioritaire",49.0625,29.1777188328913,0.1748251748,93.1818181818,4.5454545455,834
"27",335509,"Peu Prioritaire",46.5181058495822,30.5128205128205,0.2843601896,93.5545023697,4.2654028436,895
"28",3303910,"Prioritaire",33.6538461538462,19.6039603960396,0.1199760048,96.3407318536,5.2189562088,1035
"29",3303911,"Prioritaire",34.8979591836735,20.0354609929078,0.125,96.1875,4.875,1197
"30",3303912,"Prioritaire",28.9473684210526,14.5756457564576,0.0993048659,95.7795431976,5.7100297915,1189
"31",3303913,"Non Prioritaire",23.9057239057239,10.9660574412533,0,94.2708333333,8.0729166667,1042
"32",3303914,"Non Prioritaire",28.2420749279539,18.6666666666667,0,93.2442464736,9.131403118,912
"33",3303915,"Prioritaire",27.3684210526316,11.1856823266219,0,92.3515052889,5.7363710334,1092
"34",3303916,"Peu Prioritaire",31.6582914572864,19.0064794816415,0,93.3621933622,8.5858585859,1016
"35",3352210,"Prioritaire",51.2987012987013,34.8643006263048,0,93.4417895272,5.3889171327,1028
"36",3352211,"Tres Prioritaire",53.4188034188034,39.5711500974659,0.0641025641,96.6025641026,4.5512820513,1053
"37",3352212,"Tres Prioritaire",50.7874015748031,37.3646209386282,0.1430615165,97.2818311874,3.7195994278,1033
"38",3352213,"Tres Prioritaire",49.0783410138249,38.3196721311475,0,97.0663265306,5.3571428571,974
"39",3352214,"Tres Prioritaire",49.6567505720824,34.7916666666667,0,96.0508701473,5.890227577,957
"40",3352215,"Peu Prioritaire",51.3966480446927,35.4066985645933,0,93.1467181467,8.0115830116,988
"41",3352216,"Prioritaire",44.7316103379722,31.5508021390374,0,93.7663698271,9.1147197486,1041
"42",3352217,"Peu Prioritaire",45.9627329192547,36.8217054263566,0.0614439324,89.55453149,8.7250384025,1170
"43",3352218,"Prioritaire",54.1052631578947,40.080971659919,0,91.1359724613,8.4337349398,998
