"";"Score total";"Priorisation";"BDV";"Priorisation a l echelle de la commune"
"40";162;"Tres prioritaire";"1101";"Prioritaire"
"41";162;"Tres prioritaire";"1102";"Prioritaire"
"42";138;"Peu Prioritaire";"1201";"Peu Prioritaire"
"43";146;"Prioritaire";"1202";"Peu Prioritaire"
"44";154;"Prioritaire";"1203";"Peu Prioritaire"
"45";140;"Peu Prioritaire";"1301";"Peu Prioritaire"
"46";160;"Prioritaire";"1302";"Prioritaire"
"47";136;"Peu Prioritaire";"1303";"Pas Prioritaire"
"48";134;"Peu Prioritaire";"1401";"Pas Prioritaire"
"49";126;"Pas Prioritaire";"1402";"Pas Prioritaire"
"50";126;"Pas Prioritaire";"1403";"Pas Prioritaire"
"51";160;"Prioritaire";"1501";"Prioritaire"
"52";160;"Prioritaire";"1502";"Prioritaire"
"53";172;"Tres prioritaire";"1503";"Tres prioritaire"
"54";158;"Prioritaire";"1601";"Prioritaire"
"55";162;"Tres prioritaire";"1602";"Prioritaire"
"56";168;"Tres prioritaire";"1603";"Prioritaire"
"57";172;"Tres prioritaire";"1604";"Tres prioritaire"
"58";171;"Tres prioritaire";"1701";"Prioritaire"
"59";186;"Tres prioritaire";"1702";"Tres prioritaire"
"60";152;"Prioritaire";"1801";"Peu Prioritaire"
"61";172;"Tres prioritaire";"1802";"Tres prioritaire"
"62";164;"Tres prioritaire";"2101";"Prioritaire"
"63";172;"Tres prioritaire";"2102";"Tres prioritaire"
"64";183;"Tres prioritaire";"2201";"Tres prioritaire"
"65";180;"Tres prioritaire";"2202";"Tres prioritaire"
"66";177;"Tres prioritaire";"2203";"Tres prioritaire"
"67";185;"Tres prioritaire";"2204";"Tres prioritaire"
"68";179;"Tres prioritaire";"2301";"Tres prioritaire"
"69";189;"Tres prioritaire";"2302";"Tres prioritaire"
"70";182;"Tres prioritaire";"2303";"Tres prioritaire"
"71";189;"Tres prioritaire";"2304";"Tres prioritaire"
"72";184;"Tres prioritaire";"2401";"Tres prioritaire"
"73";188;"Tres prioritaire";"2402";"Tres prioritaire"
"74";178;"Tres prioritaire";"2403";"Tres prioritaire"
"75";172;"Tres prioritaire";"2404";"Tres prioritaire"
"76";177;"Tres prioritaire";"2405";"Tres prioritaire"
"77";180;"Tres prioritaire";"2406";"Tres prioritaire"
"78";185;"Tres prioritaire";"2407";"Tres prioritaire"
